#	Map name	Author	Environment	Uploaded at	UID	MapType	Notes	YN Rating	YN Votes	5-Star Avg	5-Star Total
126	B r u i s e  b y  z i y x	cime62	Canyon	2020-05-08T18:11:13.09	lOOKK8MpDsxtwP9XFjMoV8PJjT4	PursuitArena		/5	0	3.8/5	313
127	Pursuit Fun 2,0	--rudi--	Stadium	2024-02-14T17:01:35.223	Ndb1KtLeK6CaIHEJaU4GRV_fwIk	PursuitArena		/5	0	3.9/5	81
128	Pursuit - N64 Skyscraper	ziberty	Stadium	2018-07-10T18:52:40.53	sEyBQGVnJXL6iBFlTX0M0ejWpC2	PursuitArena		/5	0	3.7/5	110
129	Pursuit - Cube	--rudi--	Stadium	2024-02-14T16:20:12.897	tA64HL_j06TfW5sjdPxlkJHd28b	Race		/5	0	3.7/5	63
130	Getting Over It  b y  z i y x	cime62	Canyon	2018-06-27T18:09:51.883	4PtKjXAVj5erxCVPqb4IWfr8qF5	PursuitArena		/5	0	3.5/5	65
131	Pursuit - Sunshine Labyrinth 2019	domino54	Stadium	2019-07-25T21:18:58.04	w49Qgx2Q8ksUvht2xJ_i35Hq42m	PursuitArena		/5	0	3.5/5	452
132	Hide&amp;Sick  b y  z i y x	cime62	Stadium	2018-07-05T23:32:18.337	ykQk7vBPl0KECiChlSbidCXjbL1	PursuitArena		/5	0	3.8/5	37
133	PURSUIT - Edge of the Past	thoren22	Stadium	2020-06-28T14:20:56.14	_f6kQmjh8n_uJewsZ9_kmwaONC5	PursuitArena		/5	0	3.5/5	33
134	Pursuit - Passage	fanatyq07	Stadium	2019-05-28T17:06:34.323	jHAZfH2sOaOJj9zUXHhlYjhQZM5	PursuitArena		/5	0	3.5/5	592
135	Pursuit - I Really Don&#039;t Know!	owen8900	Stadium	2019-02-20T14:29:26.757	AK3xn2KUfHjTynpCYMD6pPf5ZO9	PursuitArena		2.8/5	233	3.4/5	790
136	Pursuit - Cliff Hopper	skymidnight	Valley	2020-06-15T22:56:18.793	Ks6SvJe3BW3SfloUHLi1rr_ZgO4	PursuitArena		/5	0	3.6/5	399
