#	Map name	Author	Environment	Uploaded at	UID	MapType	Notes	YN Rating	YN Votes	5-Star Avg	5-Star Total
1	B i g  R o o m  b y  z i y x				o7dl56rYEVeuNyLkvJgjgkvRIIj			2.5/5	32	3.5/5	565
2	Best map ever made so far lulz  b y  z i y x				owfIKm3fjLoU7GL_cRqLsS9noD6			0.0/5	0	3.7/5	528
3	B r u i s e  b y  z i y x				lOOKK8MpDsxtwP9XFjMoV8PJjT4			0.0/5	0	3.8/5	313
4	F l a m e s  b y  z i y x				wf2K_PJdFPhp85FLnjR9yQw9LIb			3.4/5	100	3.6/5	353
5	T r a c k m a n i a k  b y  z i y x				qq43cbxMRnw_JsECcZrjCMOaDvj			3.4/5	162	3.7/5	601
6	Pursuit - Valley Arena				d5x0eY2pss9gdx7np7kvfuNeb91			0.0/5	0	4.0/5	89
7	Pursuit - Mode #02				PHkdgJiJ5Oku2EuLdF9nC3tRWs5			3.3/5	236	3.8/5	598
8	Pursuit - Holkham Bay				kHXOsZeVQXz7_W8Mvo1Sqao_Wwa			2.5/5	28	3.8/5	616
9	Pursuit - Gedney Shore				CUYNaLHRnJYqv8QqUCmpSnsyDJc			3.9/5	98	3.8/5	419
10	Pursuit - Scadroy Town				2D3zlVXrfDSjvAb1AKy5UyYefRg			3.8/5	1284	3.9/5	672
11	Pursuit - Rathorm Island				Z6F3511I2qOxYNFUaq66xxqYkHa			3.3/5	175	3.7/5	571
12	Pursuit  On The Move				mPkhzS8Q1ctcKX1owqWVsRLnn82			0.0/5	0	3.9/5	749
13	Pursuit - Goats Will Fly!				NPLxQYKZfoM8HGTAYqQOR__U0nm			3.4/5	1066	3.6/5	787
14	Pursuit - Arena!				DvhekJykZnsuIvxkvQacKUbh0ue			2.2/5	30	3.6/5	524
15	Pursuit - Dynamo				DiXCUUvMNIoDLPpqHaePyPnNAs7			4.0/5	107	3.8/5	515
16	Pursuit - Red Box 2				QtjBmldn9xj7cv4v4Djk4csmYP			0.0/5	0	3.7/5	875
17	Pursuit - Airport v2				PJ64VIvmKnxEw3XS7UjVGXb2B48			2.8/5	364	3.7/5	869
18	Pursuit - Canyon City				yZwZUSCMETzuVivHd2CrU999Bu6			3.1/5	330	3.7/5	601
19	Pursuit - The Crazy Rampage!				tOwAIhnVSTnhf30r9quADQV4lv9			0.0/5	0	4.1/5	78
20	Pursuit Fun 2,0				Ndb1KtLeK6CaIHEJaU4GRV_fwIk			0.0/5	0	3.9/5	81
21	Pursuit - N64 Skyscraper				sEyBQGVnJXL6iBFlTX0M0ejWpC2			0.0/5	0	3.7/5	110
22	Pursuit - Mosh Pit!				O8Ynl2cDelXnizAvxntqtyYQCyl			0.0/5	0	3.8/5	76
23	Pursuit - Phillarz 2				J6kNdSCzJnRM_yw04hiSku_cHT7			0.0/5	0	3.7/5	40
24	Pursuit - Tomogoci				D_Mi2ievZ1gUOesDeOJYRd4wgie			0.0/5	0	3.8/5	52
25	Goal Hunt - Rolling Out				ynC2nHFfvBj_APKAGNObnsqjU3			3.9/5	170	3.7/5	203
26	Pursuit  Rightside Down				nvTcGOMbAaQDd5oZbrAt6lHMX6l			2.9/5	28	3.5/5	57
27	[Lati Goal Hunt] Arena Alpha				ZEnvC9gioY_n_Zmz5qcyiWfeVC4			0.0/5	0	3.7/5	59
28	Pursuit - Cube				tA64HL_j06TfW5sjdPxlkJHd28b			0.0/5	0	3.7/5	63
29	Getting Over It  b y  z i y x				4PtKjXAVj5erxCVPqb4IWfr8qF5			0.0/5	0	3.5/5	65
30	Pursuit - Sunshine Labyrinth 2019				w49Qgx2Q8ksUvht2xJ_i35Hq42m			0.0/5	0	3.5/5	452
31	Hide&amp;Sick  b y  z i y x				ykQk7vBPl0KECiChlSbidCXjbL1			0.0/5	0	3.8/5	37
32	PURSUIT - Edge of the Past				_f6kQmjh8n_uJewsZ9_kmwaONC5			0.0/5	0	3.5/5	33
33	Pursuit - Passage				jHAZfH2sOaOJj9zUXHhlYjhQZM5			0.0/5	0	3.5/5	592
34	Pursuit - Air Show				dN9NV4eDc5plskyaFRyZ1ToV2hf			2.7/5	140	3.4/5	102
